"Sorting Lab","Year Month of Tow ","Tow Collection Day",Ship,"Station Line","Station Number","Latitude (º)","Longitude (º)","Max Tow Depth (m)","Volume Water Filtered (ml/1000m3)","Aliquot %","Aliquot Adjustment Value","Total Phyllosoma","Stage 1","Stage 2","Stage 3","Stage 4","Stage 5","Stage 6","Stage 7","Stage 8","Stage 9","Stage 10","Stage 11","Study Flag"
MJ,5107,1951-07-06,31PT,90,37,33.18462,-118.38708,145,881.1,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,1
MJ,5107,1951-07-03,31BD,77,55,34.83628,-121.16221,139,740.2,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5107,1951-07-07,31PT,85,40,33.95064,-119.17158,138,874.9,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5107,1951-07-05,31PT,90,60,32.41795,-119.95935,132,751.9,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5107,1951-07-05,31PT,90,53,32.65128,-119.48228,146,714.1,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5107,1951-07-06,31PT,90,30,33.41795,-117.90582,134,728.5,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5107,1951-07-10,31PT,93,50,32.23167,-118.92872,144,686.4,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5107,1951-07-10,31PT,93,40,32.565,-118.24824,146,726.5,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5107,1951-07-10,31PT,93,30,32.89833,-117.56519,136,761.8,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5108,1951-08-02,31CR,85,60,33.28398,-120.55169,133,536,100,"No Adjustment",1,0,1,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-03,31CR,86.7,35,33.82286,-118.62873,126,502.8,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-03,31CR,90,28,33.48462,-117.76808,128,499.9,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-04,31CR,90,37,33.18462,-118.38708,111,618.2,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-08,31CR,93.3,27,32.94637,-117.32592,62,459,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,3
MJ,5108,1951-08-07,31CR,93.3,60,31.84637,-119.57154,147,564,100,"No Adjustment",1,0,1,0,0,0,0,0,0,0,0,0,3
MJ,5108,1951-08-02,31CR,85,50,33.61731,-119.86298,133,476,100,"No Adjustment",2,2,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-07,31CR,93.3,40,32.51304,-118.21387,133,527.7,100,"No Adjustment",2,1,1,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-07,31CR,93.3,50,32.17971,-118.89396,138,526.8,100,"No Adjustment",2,0,2,0,0,0,0,0,0,0,0,0,1
